id,title,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts15388,American Dragon: Jake Long,"American Dragon is a coming of age comedy-action series about Jake Long, a 13-year-old Asian-American boy who strives to find balance in his life as a skateboard-grinding, New York 'tween while learning to master his mystical powers (in his secret identity) as the American Dragon, the protector and guardian of all magical creatures secretly living amidst the human world.",2005,TV-G,21,"['comedy', 'action', 'animation', 'family', 'fantasy']",['US'],2.0,tt0429305,6.6,11743.0,71.45,7.9
ts22467,Wizards of Waverly Place,"Alex, Justin and Max Russo are not your ordinary kids - they're wizards in training! While their parents run the Waverly Sub Station, the siblings struggle to balance their ordinary lives while learning to master their extraordinary powers.",2007,TV-G,24,"['scifi', 'comedy', 'drama', 'family', 'fantasy']",['US'],4.0,tt0799922,6.9,33279.0,35.107,8.2
ts21656,The Proud Family,"Follow the adventures and misadventures of Penny, a 14-year-old African American girl who's doing her best to navigate through the early years of teen-dom. Penny's every encounter inevitably spirals into bigger than life situations filled with hi-jinks, hilarity and heart. Her quest to balance her home, school and social lives are further complicated by friends like the sassy Dijonay, Penny's nemesis LaCienega Boulevardez, her loving, if not over-protective parents and her hip-to-the-groove-granny, Suga Mama.",2001,TV-Y,22,"['animation', 'comedy', 'family', 'fantasy']",['US'],3.0,tt0293737,6.5,7344.0,17.045,8.1
ts30284,Good Luck Charlie,"Teens PJ and Teddy and tween brother Gabe are typical kids -- that is, until their mother has another baby. The arrival of their new sister completely upends the entire household. When their mother heads back to work after Charlie's birth, it's up to the kids and their dad to keep the home fires burning -- and to keep Charlie out of trouble as she learns to sit up, crawl, walk and run. Teddy, as the older sister, makes a personalized video diary for Charlie, in each episode adding a nugget of wisdom for her baby sibling.",2010,TV-G,23,"['drama', 'family', 'comedy', 'music']","['GB', 'US']",4.0,tt1415889,7.1,21386.0,99.681,8.0
ts21721,Lilo & Stitch: The Series,"Lilo & Stitch: The Series is the animated television spinoff of the feature film, Lilo & Stitch and the follow-up to Stitch! The Movie. It was aired on Disney Channel worldwide, but has only been released on DVD in Japan, in four box sets.",2003,TV-Y7,23,"['action', 'scifi', 'animation', 'comedy', 'family']",['US'],4.0,tt0364774,6.7,9902.0,26.497,7.4
ts21190,Iron Man: Armored Adventures,"Iron Man: Armored Adventures is a 3D CGI cartoon series based on the Marvel Comics superhero Iron Man. It debuted in the USA on the Nicktoons on April 24, 2009, and has already begun airing on Canadian network Teletoon. Iron Man: Armored Adventures aired on Nickelodeon on July 4, 2009 until September 12, 2009. The series is story edited by showrunner Christopher Yost, who also worked on Wolverine and the X-Men, and numerous other Marvel Animation projects. The television show is not related to the 2007 animated film The Invincible Iron Man; It has a different voice cast, but some story elements are similar and the show uses the same musical score as the film in some instances. It is the first Iron Man television series since Iron Man from 1994–1996, and started airing after the success of the live action Iron Man film.

The series follows the adventures of teenage child prodigy Tony Stark and his alter ego of Iron Man. As Iron Man, he uses his technological inventions to fight various similarly technologically advanced threats. His friends, James ""Rhodey"" Rhodes and Pepper Potts help him on his courageous, and dangerous adventures.",2009,TV-Y7,23,"['scifi', 'action', 'family', 'fantasy', 'animation']",['US'],2.0,tt0837143,6.4,3570.0,28.796,7.5
ts21940,Kick Buttowski: Suburban Daredevil,"Kick Buttowski: Suburban Daredevil is an Emmy Nominated animated television series created by animator Sandro Corsaro, about a young boy named Clarence ""Kick"" Buttowski, who aspires to become the world's greatest daredevil. It became the fourth Disney XD original series and the first animated series. The show premiered on February 13, 2010, with two episodes airing the first day. Also the series premiered on Disney Channel Asia on May 28, 2010 There are two 11-minute segments per show. The show uses Toon Boom Animation software. There are also some 3D-animated elements. The series is executive-produced and directed by Chris Savino. and Sandro Corsaro. Many of the characters and situations were based on the Corsaro's childhood growing up in Stoneham, Massachusetts.",2010,TV-Y7,23,"['action', 'comedy', 'family', 'thriller', 'animation']",['US'],2.0,tt1600757,6.6,4980.0,176.61900000000003,8.2
ts21857,The Suite Life of Zack & Cody,"Meet Zack and Cody, 11 year-old identical twins and the newest residents of Boston's swanky Tipton Hotel. Living in a suite with their mom Carey, the boys treat the Tipton like their own personal playground.",2005,TV-G,26,"['comedy', 'family']",['US'],3.0,tt0426371,6.5,35924.0,25.955,7.8
ts22233,Shake It Up,"Best pals CeCe and Rocky dream of dancing stardom. And they seem on the verge of realizing that goal when they win places as backup dancers on the local TV show ""Shake It Up, Chicago."" While they get to show off their moves, they find out they need to keep putting their best feet forward to keep up with the rest of the crew on the show.",2010,TV-G,25,"['comedy', 'family']",['US'],3.0,tt0453993,7.8,73.0,26.250999999999998,7.9
ts21763,That's So Raven,"No ordinary teenager; Raven Baxter can see glimpses of the future! Watch her schemes and misadventures as she enlists the help of friends, including best friends Eddie and Chelsea, to change life's little outcomes. Raven's younger brother, Cory, is obsessed with money and creates get-rich-quick schemes to try to earn cash.",2003,TV-G,22,"['scifi', 'comedy', 'family', 'fantasy']",['US'],4.0,tt0300865,6.6,19722.0,50.023,7.4
