id,title,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts20968,Spider-Man Unlimited,Spider-Man travels to Counter-Earth to rescue a Terran shuttle crew trapped there and discovers a tyrannical & warped version of his world.,1999,TV-Y7,22,"['action', 'crime', 'family', 'scifi', 'thriller', 'animation']",['US'],1.0,tt0207120,6.3,3326.0,33.194,7.5
ts21059,The Incredible Hulk,"The Incredible Hulk is an American animated television series starring the Marvel Comics character the Hulk. It ran two seasons, for 21 episodes, on the television network UPN from 1996 to 1997. Lou Ferrigno, who portrayed Universal's version of the Hulk on the 1970s live-action TV series, provided the Hulk's voice for the true version from Marvel.

The show often featured cameo appearances by characters from other Marvel cartoons of the period. In the second season, the show's format, after UPN decided that Season 1 was too dark, was changed, and to give ""female viewers a chance"", the network ordered that She-Hulk be made a regular co-star. As a result, the series was officially renamed The Incredible Hulk and She-Hulk. The second season also featured the Grey Hulk.",1996,TV-Y7,22,"['drama', 'action', 'fantasy', 'scifi', 'animation']",['US'],3.0,tt0115215,6.7,3280.0,15.591,6.0
ts21291,Pepper Ann,"Pepper Ann is an American animated series created by Sue Rose and aired on first run syndication. It debuted on September 1, 1997, and ended on November 24, 2000.

Pepper Ann stars adolescents and charts their ups and downs at Hazelnut Middle School. It aired as part of the The Disney Afternoon block. The character originated in a comic strip published in YM magazine.",1997,TV-Y,15,"['family', 'animation', 'comedy']",['US'],5.0,tt0128890,7.1,3634.0,5.562,6.9
ts22130,Rolie Polie Olie,"Rolie Polie Olie was a children's television series produced by Nelvana, distributed by Disney, and created by William Joyce, Maggie Swanson, and Anne Wood. The show centers on a little roly pollie who is composed of several spheres and other three-dimensional geometric shapes. The show was one of the earliest series that was fully animated in CGI, and the first CGI animated preschool series.Rolie Polie Olie now airs in reruns on Disney Junior.

Rolie Polie Olie won a Gemini Award in Canada for ""Best Animated Program"" in 1999. The show also won a Daytime Emmy Award for ""Outstanding Special Class Animated Program"" in 2000 and 2005. William Joyce won a 1999 Daytime Emmy for Best Production Design for this series. The show has a vintage atmosphere reminiscent of the 1950s and early 1960s, with futuristic elements.",1998,TV-Y,21,"['animation', 'comedy', 'family', 'fantasy', 'scifi']","['FR', 'GB', 'US', 'CA']",6.0,tt0172049,6.3,2861.0,8.697000000000001,6.8
ts14804,Darkwing Duck,"The adventures of superhero Darkwing Duck, aided by his sidekick Launchpad McQuack. In his secret identity of Drake Mallard, he lives in a suburban house with his adopted daughter Gosalyn, next door to the bafflingly dim-witted Muddlefoot family. A spin-off of DuckTales.",1991,TV-G,22,"['action', 'animation', 'comedy', 'crime', 'family', 'fantasy', 'scifi']",['US'],3.0,tt13457990,7.6,16104.0,14.306,7.4
ts10198,Even Stevens,"The Stevens are a middle-class family living in Sacramento, CA. Husband and father Steve is a successful attorney. Wife and mother Eileen is a state Senator. Their oldest child Donnie ia a high-school sports legend. Ren, an 8th-grader, is just about the perfect daughter. She makes the best grades, she's popular, she does volunteer work and other extracurricular tasks by the score. Her brother Louis, in the 7th grade, is her opposite. He likes to sleep late, he's messy, his grades are not good, he's frequently in detention and he seems to take nothing seriously. But he is serious about finding something of his own that he can do to put himself on a par with the rest of his overachieving family. Though he and Ren occasionally soften their attitudes toward each other, at any given moment the're likely to be fighting like mongoose and cobra.",2000,TV-G,22,"['comedy', 'family']",['US'],3.0,tt0465828,7.6,14537.0,11.61,7.5
ts21702,Iron Man,Industrialist Tony Stark leads a private team of superheroes as Iron Man against the forces of evil.,1994,TV-Y7,22,"['action', 'scifi', 'family', 'animation']",['US'],2.0,tt0115218,6.6,3247.0,11.818,7.0
ts20699,The Little Mermaid,"Disney's The Little Mermaid is an American animated television series produced by Walt Disney Television Animation based on the 1989 Disney film of the same name. It features the adventures of Ariel as a mermaid prior to the events of the film. This series is the first Disney television series to be spun off from a major animated film. Some of the voice actors of the film reprise their roles in the series, among them Jodi Benson as Ariel, Samuel E. Wright as Sebastian, Kenneth Mars as King Triton, and Pat Carroll as Ursula.",1992,TV-G,23,"['comedy', 'drama', 'family', 'fantasy', 'romance', 'animation']",['US'],3.0,tt0103477,6.7,5028.0,27.241,7.0
ts43344,Silver Surfer,The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.,1998,TV-Y7,20,"['scifi', 'thriller', 'animation', 'action']",['US'],1.0,tt0203268,7.0,2361.0,8.806000000000001,7.7
ts21195,Smart Guy,"T.J. is a boy genius who gets bumped up from the fourth grade to high school. T.J. tries to adjust to his new life, but he shares some classes with his 14 year-old brother Marcus, the school jock, and his clueless and self-absorbed 16 year-old sister Yvette.",1997,TV-G,22,"['comedy', 'drama', 'family']",['US'],3.0,tt0118466,7.4,5099.0,9.37,8.0
ts12215,Bonkers,"Bonkers is an animated American television series that aired from September 4, 1993 to August 24, 1995 in first-run syndication. The syndicated run was available both separately, and as part of The Disney Afternoon. The show was last seen on Toon Disney, but was taken off the schedule in late 2004.",1993,TV-Y7,25,"['comedy', 'western', 'action', 'fantasy', 'scifi', 'animation', 'crime', 'family']",['US'],4.0,tt0213334,6.7,1477.0,8.88,6.6
ts22263,Timon & Pumbaa,"Set after the events of the ""The Lion King,"" follow Timon and Pumbaa as they go on misadventures in the jungle, as well as across the globe in various.",1995,TV-Y,22,"['comedy', 'scifi', 'animation', 'family', 'music', 'fantasy']",['US'],8.0,tt0112197,7.0,10053.0,44.456,7.2
ts22023,Hercules,Follow Herc's many labors during the years he spent training on how to be a hero under the tutelage of satyr Phil. Many of the Olympian Gods and Goddesses pay visit to the young hero-to-be and help or hinder him in his new adventures.,1998,TV-Y,23,"['comedy', 'action', 'animation', 'family', 'fantasy']",['US'],2.0,tt0138967,6.6,10423.0,17.998,6.6
ts25438,Out of the Box,"Out of the Box is a Disney Channel TV series that takes place in a playhouse made entirely of cardboard boxes, where two hosts, Tony James and Vivian McLaughlin Bayubay, make crafts, sing songs, and act out plays.

Two special episodes were released on VHS by Walt Disney Home Video, Out of the Box: Trick or Treat, and Out of the Box: Happy Holidays. Trick or Treat is also available on the DVD entitled Rolie Polie Olie: A Spookie Ookie Halloween.

The series was created and executive produced by Douglas Love and was based on his series of books from HarperCollins. Three seasons were filmed at Kaufman Astoria Studios in New York City. The series earned three Parents' Choice Awards for excellence in television and an Emmy nomination.",1998,TV-Y,24,"['music', 'comedy', 'family', 'fantasy', 'sport', 'documentation']",['US'],3.0,tt0277514,7.4,990.0,2.063,10.0
ts9805,Adventures in Wonderland,"Adventures in Wonderland is a live-action musical television series based on Walt Disney's animated classic Alice in Wonderland. In the series, Alice, was portrayed as a girl who can go to and from Wonderland simply by walking through her mirror.

The show ran from 1992 to 1995 on the Disney Channel and on stations across the country. Like many Disney Channel original shows, Adventures in Wonderland was taped at Disney-MGM Studios at the Walt Disney World Resort in Lake Buena Vista, Florida, with two sound stages used exclusively for the show, but only for its first 40 episodes. Afterward, shooting was moved to Los Angeles, CA.

Walt Disney Studios Home Entertainment released three VHS tapes of certain episodes.",1992,TV-Y,28,"['scifi', 'comedy', 'family', 'fantasy']",['US'],5.0,tt0300712,7.9,727.0,2.512,7.0
ts20967,So Weird,"Fourteen-year-old Fi Phillips investigates the paranormal while touring the country in a bus with her widowed rock-star mom and her skeptical brother, Jack. At the beginning of Season 3, Fi passed the job of case cracker to a songbird named Annie",1999,TV-PG,24,"['scifi', 'family', 'thriller']",['US'],3.0,tt0169247,8.4,2960.0,3.92,7.6
ts20912,Mighty Ducks: The Animated Series,"Mighty Ducks is an American animated television series that aired on ABC and The Disney Afternoon in the fall of 1996. The show was inspired by and loosely based on the live-action films and NHL team of the same name. T

DisneyQuest, an ""Indoor Interactive Theme Park"" located in the Downtown Disney area of the Walt Disney World Resort, has an attraction loosely based on the program called Mighty Ducks Pinball Slam. Wildwing is the only character from the show featured, first as a life-size cutout at the front of the queue line and then again as the goalie in the game.",1996,TV-Y7,22,"['action', 'sport', 'family', 'animation', 'comedy', 'scifi', 'drama']",['US'],1.0,tt0115269,6.4,1925.0,5.32,6.6
