id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts57862,DuckTales,SHOW,"The adventures of billionaire Scrooge McDuck and his nephews Huey, Dewey and Louie, their famous uncle Donald Duck, pilot extraordinaire Launchpad, Mrs. Beakly, Webby and Roboduck. Adventures and hidden treasures are everywhere, in their hometown Duckburg and all around the world.",2017,TV-Y7,24,"['animation', 'family', 'fantasy', 'action', 'scifi', 'comedy']",['US'],3.0,tt5531466,8.2,9374.0,38.077,7.9
ts57491,Raven's Home,SHOW,"Best friends Raven and Chelsea, now both divorced mothers, are raising their children in a house together. Their house is turned upside down when they realize one of Raven's children inherited the same psychic abilities as their mother.",2017,TV-G,24,"['comedy', 'family']",['US'],5.0,tt6311972,7.1,3099.0,31.463,8.1
ts56719,Star Wars: Forces of Destiny,SHOW,"An animated micro-series starring Rey, Jyn Erso, Princess Leia, Ahsoka Tano, and more. Small moments and everyday decisions shape a larger heroic saga.",2017,TV-Y7,4,"['scifi', 'action', 'family', 'animation', 'drama']",['US'],2.0,tt6779076,5.2,2023.0,10.599,5.5
ts57584,Puppy Dog Pals,SHOW,"Fun-loving pug puppies, brothers Bingo and Rolly, have thrill-seeking appetites that take them on exhilarating adventures in their neighborhood and around the globe.",2017,TV-Y,20,"['animation', 'comedy', 'drama', 'family']",['US'],5.0,tt6688750,6.8,1052.0,17.966,7.7
ts82155,Big City Greens,SHOW,"The offbeat adventures of 10-year-old Cricket Green, a mischievous and optimistic country boy who moves to the big city with his wildly out of place family – older sister Tilly, father Bill and Gramma Alice.",2018,TV-Y7,18,"['comedy', 'family', 'animation']",['US'],3.0,tt7165904,7.3,2040.0,47.741,8.2
ts8698,Drain the Oceans,SHOW,"Maritime mysteries -- old and new -- come to life in this series, combining scientific data and digital re-creations to reveal shipwrecks, treasures, and sunken cities on the bottom of lakes, seas and oceans around the world.",2018,TV-PG,46,"['documentation', 'history']",['US'],4.0,tt8676618,7.5,506.0,17.789,7.8
ts52900,Big Hero 6 The Series,SHOW,"Picking up immediately following the events in the feature film, these are the continuing adventures and friendship of 14-year-old tech genius Hiro and his compassionate, cutting-edge robot Baymax. As the new prodigy at San Fransokyo Institute of Technology, Hiro now faces daunting academic challenges and the social trials of being the little man on campus. Off campus, the stakes are raised for the high-tech heroes as they must protect their city from an array of scientifically enhanced villains.",2017,TV-Y7,23,"['action', 'comedy', 'animation', 'scifi', 'family']",['US'],3.0,tt5515212,7.4,31.0,51.991,8.1
ts75597,Marvel's Ant-Man,SHOW,"Follow Scott Lang as Ant-Man, dealing with everything from super villains to miniature alien invasions (and occasionally helping Cassie with her homework). Along with The Wasp and Hank Pym, Ant-Man protects the world one inch at a time.",2017,,1,"['action', 'comedy', 'family', 'scifi', 'animation']",['US'],1.0,tt7249258,6.6,426.0,7.521,7.5
ts88128,Secrets of the Zoo,SHOW,"With nearly 6,000 veterinary cases and well over 100 births each year, the team at the Columbus Zoo has no shortage of incredible drama.",2018,TV-PG,43,"['reality', 'documentation']",['US'],5.0,tt19868152,8.3,237.0,3.958,8.9
ts55088,Rapunzel's Tangled Adventure,SHOW,"Set between “Tangled” and “Tangled Ever After,” this animated adventure/comedy series unfolds as Rapunzel acquaints herself with her parents, her kingdom and the people of Corona.",2017,TV-G,25,"['animation', 'family', 'action', 'drama', 'fantasy', 'comedy']",['US'],3.0,tt4902964,7.6,2667.0,24.415,7.5
ts81647,Fancy Nancy,SHOW,"Meet Nancy Clancy, a high-spirited young girl whose imagination and enthusiasm for all that is exquisite transforms the ordinary into the extraordinary – from her vast vocabulary to her creative and elaborate attire.",2018,TV-Y,20,"['comedy', 'family', 'animation']",['US'],3.0,tt2229129,5.5,389.0,13.595,7.3
ts55686,Andi Mack,SHOW,"Andi is contemplative and artistic and sheltered by overprotective parents. But on the eve of her 13th birthday, Andi's free-spirited older sister Bex returns home with a revelation that changes everything and sends Andi on an uncharted course of self-discovery.",2017,TV-G,25,"['drama', 'comedy', 'family']",['US'],3.0,tt5195114,7.3,2230.0,26.125,8.2
ts81977,Legend of the Three Caballeros,SHOW,"When Donald Duck inherits a cabana from his great-grandfather Clinton Coot in the New Quackmore Institute alongside Brazilian parrot José Carioca and Mexican rooster Panchito Gonzalez, they discover a magical book that when opened releases a goddess named Xandra. The goddess explains that Donald, José, and Panchito are the descendants of a trio of adventurers known as The Three Caballeros, who long ago traveled to stop the evil sorcerer Lord Felldrake from taking over the world and ultimately sealed him in a magical staff.

Meanwhile, the staff containing Felldrake is discovered by his descendant Baron Von Sheldgoose, the corrupt President of the New Quackmore Institute. As Sheldgoose sets out to revive Felldrake, the new Three Caballeros must learn to become heroes to save the world from disaster.",2018,TV-Y7,23,"['action', 'comedy', 'family', 'fantasy', 'animation']",['US'],1.0,tt8611524,7.8,395.0,4.044,10.0
ts124200,Marvel Future Avengers,SHOW,"follows a young boy named Makoto, who gains superpowers due to an evil gene manipulation experiment. Makoto and other young kids with powers join the Avengers as apprentices named ""Future Avengers.""",2017,TV-Y7,23,"['animation', 'action', 'scifi']",['JP'],2.0,tt6591446,5.6,220.0,1.4,6.8
ts75991,Vampirina,SHOW,A young vampire girl faces the joys and trials of being the new kid in town when her family moves from Transylvania to Pennsylvania.,2017,TV-Y,21,"['comedy', 'family', 'fantasy', 'animation']",['US'],3.0,tt7010622,6.4,834.0,13.901,6.8
ts57135,Year Million,SHOW,"Explore what it will be like to be human one million years into the future. Today’s brightest futurists, scientists, scholars and notable science fiction writers guide viewers through the very latest advances in technology, ideas and innovations that likely will power the evolution of our species.",2017,TV-14,47,"['scifi', 'documentation', 'drama']",['US'],1.0,tt6945708,7.4,583.0,3.368,8.1
ts55504,Origins: The Journey of Humankind,SHOW,"Hosted by Jason Silva, Origins: The Journey of Humankind rewinds all the way back to the beginning and traces the innovations that made us modern.",2017,TV-14,29,"['documentation', 'drama', 'action', 'history', 'scifi', 'comedy', 'romance', 'horror']",['US'],3.0,tt8201662,6.5,14.0,2.14,7.8
ts226753,Star Wars Blips,SHOW,"A series of animated YouTube shorts featuring comedic looks at BB-8, R2-D2, Chewbacca, and porgs, in promotion for the release of Star Wars: Episode VIII The Last Jedi.",2017,,1,"['comedy', 'animation']",[],1.0,tt11281500,6.1,162.0,1.767,5.8
ts55983,Marvel's Rocket & Groot,SHOW,"Before becoming Guardians of the Galaxy, Rocket and Groot were bounty hunters trying to get a ship.",2017,,2,"['scifi', 'animation', 'comedy', 'family']",['US'],1.0,tt6603254,6.7,353.0,6.181,8.2
ts81805,Tut's Treasures: Hidden Secrets,SHOW,"Howard Carter’s discovery of Tutankhamun’s tomb in 1922 made headlines across the world sparking a global frenzy for Ancient Egypt. But over the decades since the find, many of the pharaoh’s priceless grave goods have disappeared into museum basements and archives across Egypt. Now all 5,398 objects are being reunited for the first time since their discovery at the new Grand Egyptian Museum. Many have never been seen before but together they shed new light on the short, eventful life of the so-called ‘Boy King’ and are now helping experts realize the sheer scale of Tutankhamun’s influence in the ancient world.",2018,TV-PG,52,['documentation'],['US'],1.0,,,,1.96,7.5
ts56028,Mickey and the Roadster Racers,SHOW,"Mickey Mouse and his pals Minnie, Pluto, Goofy, Daisy and Donald take their unique transforming vehicles on humorous high-spirited races around the globe as well as hometown capers in Hot Dog Hills.",2017,TV-Y,20,"['action', 'reality', 'comedy', 'family', 'sport', 'animation']",['US'],3.0,tt6264782,6.0,587.0,28.587,6.6
ts84579,Marvel Rising: Initation,SHOW,"Gwen Stacy AKA Ghost-Spider, wrongly accused of a crime she didn’t commit, seeks to clear her name and deliver justice. Unfortunately, her dad is not only Captain of the NYPD, but spearheading the manhunt! To make matters worse, other young heroes—Ms. Marvel, Squirrel Girl, Quake and Patriot—are after Ghost Spider as well. But, as the chase to uncover the truth winds down, a darker threat looms along the horizon, and very soon, these heroes will need to put aside their differences and work together as a team.",2018,,4,"['action', 'animation', 'comedy', 'drama', 'family']",['US'],2.0,tt9073722,5.6,518.0,14.231,7.9
ts237940,Avengers: Secret Wars (Shorts),SHOW,"With Tony Stark trapped in another dimension, the Avengers muster all of their powers to try and bring him back. But before they can, they are attacked by a new cabal of villains.",2017,,4,[],[],1.0,,,,0.603,
